50YNY0xy9uJ0U9eFQBdLJa,Life Is But a Dream…,11,2023-06-02
7pb9ZipjQRimTjYOZpZ8lk,Live in the LBC,13,2020-03-06
6VcCunBnnw4BVkCit5rk7d,Diamonds in the Rough,16,2020-02-07
0OJ2cB135AqvHEtfXifM5D,The Stage (Deluxe Edition),22,2017-12-22
0vINJeraREv5ySgWs57Dko,The Stage,11,2016-10-28
0Qm2vu5VZp2MKLb6yTxSgT,Hail to the King: Deathbat (Original Video Game Soundtrack),10,2015-01-27
6V3hjAUhRZU5aLeNNxTOUo,Waking The Fallen: Resurrected,23,2014-08-25
0ks45m1bsP2JsZpM5D2FFA,Hail to the King,10,2013-08-23
7vfuTRXIAYJz5Uc8SddnTr,Nightmare,11,2010-07-23
3Id3VUk9jSKBD1guNo1buF,Avenged Sevenfold,12,2007-10-26

7acEciVtnuTzmwKptkjth5,Fear Inoculum,10,2019-08-30
1fvWYcbjuycyHpzNPH1Vfk,10,000 Days,11,2006-04-28
5l5m1hnH4punS1GQXgEi3T,Lateralus,13,2001-05-15
6yWMN087PgSimbcVmHLEwG,Ænima,15,1996-09-17
3Esn6LoXuWtLZNYq8FCzr0,Undertow,10,1993-04-06
13sWe0tYKenwLd2t25bHIi,Opiate²,1,2022-03-01
6ZuGioRryrgXjmhdW14jel,Opiate,6,1992-03-10

5gizwaBQyfZYTEb8zdL7Z6,Untitled (Deluxe),15,2023-07-28
4fN6xfIrXPX8SMgcFU4A6h,Requiem Mass (Deluxe Edition),14,2023-02-03
7J0BUlxogdpZAtuZnhomb0,Requiem,9,2022-02-04
6mWsWVsfWpoZ2d6uxm1ND1,The Nothing,13,2019-09-13
0UGqqYIWXAD1FgrDI1zOjh,The Serenity of Suffering,11,2016-10-21
29QP2RwZwRY9mAYWmYcH3T,The Paradigm Shift (World Tour Edition),20,2014-07-15
6TA5d51wosfWuZXyOKWzpG,The Paradigm Shift (Deluxe),13,2013-10-08
3ARqpnmjMB5O8uihXOOxbW,The Path of Totality (Special Edition),13,2011-11-30
4a6B5VTaWSw0xRQsEtNX39,The Path of Totality,11,2011-11-21
2WuADVcxasM1VvDfnwiACn,Korn III: Remember Who You Are (Special Edition),14,2010-07-09

3hWTXO0w02D6YpVRyLRmQz,The End, So Far,12,2022-09-30
754RY5WpZ2LTUZsk8kDBju,We Are Not Your Kind,14,2019-08-09
09pLzub9F2asXde8dH2UDN,Day Of The Gusano (Live),17,2017-10-20
0ApKaazNHf0gzjAYZauexq,.5: The Gray Chapter (Special Edition),16,2014-10-15
2dL9Q5AtIv4Rw1L6lKcIUc,Slipknot (10th Anniversary Edition),25,2009-09-09
0hFWapnP7orzXCMwNU5DuA,All Hope Is Gone,15,2008-08-22
2ISXjEm0D4chvU2IDNvUqk,All Hope Is Gone (10th Anniversary),28,2008-08-20
2rdXvZY0IkT1TPuA8SKTix,9.0 Live,24,2005-11-01
4ZDBQSIDIZRUBOG2OHcN3T,Vol. 3: The Subliminal Verses,22,2004-00-00
5Zs0mNCTs73CqPKbZPWFX9,Iowa,33,2001-00-00

4R6FV9NSzhPihHR0h4pI93,From Zero,11,2024-11-15
7qKEQkRXySP0rhjtXJksfg,From Zero: A Cappellas + Instrumentals,21,2024-11-14
1x6p39FFIESOq8q8B4oQXN,From Zero: A Cappellas,11,2024-11-14
494aUGKXMH5ruXtR3O1a3H,Papercuts: Instrumentals,20,2024-06-28
1X472EvsSqH09RyrqbtyXU,Papercuts,20,2024-04-12
3Q9wXhEAX7NYCPP0hxIuDz,Meteora 20th Anniversary Edition,89,2023-04-07
28DUZ0itKISf2sr6hlseMy,Hybrid Theory (20th Anniversary Edition),80,2020-10-09
0zcNtUZ2oEpRmiDuWBFvcX,One More Light Live,16,2017-12-15
5Eevxp2BCbWq25ZdiXRwYd,One More Light,10,2017-05-19
6hU9JCoqq4GjYq86dQ1o9b,The Hunting Party: Acapellas + Instrumentals,22,2014-06-09

3QxX3NbWyLlLG6lP1xveL3,Hypnotize,12,2005-11-22
0cn6MHyx4YuZauaB7Pb66o,Mezmerize,11,2005-05-17
6lA1sGw7eCv27bcpd5E0wT,Steal This Album!,16,2002-11-26
6jWde94ln40epKIQCd8XUh,Toxicity,15,2001-09-04
3sSfjX4fhZonjyZ10x0l0f,System Of A Down,17,1998-00-00
00OQIrRjQgZmacSnjK8L7M,Protect The Land / Genocidal Humanoidz,2,2020-11-06
0g7rLswEejduKye2DF7EfI,Hypnotize,1,2005-10-11
34ZNizx7MgcKWtlj8FTbJO,B.Y.O.B. single (with bonus),2,2005-05-03
4dE7p4ZMRkx3yOjDWILwl8,B.Y.O.B.,1,2005-03-29
5PIDHpTCc6iT5WM2JZzFKu,Loud Rocks,13,2000-09-05

1EozAc4lNqwMvlAhEEXk6w,The Surface Seems So Far,11,2024-09-20
3NOgXaB6tvmz3fMvicppdK,Seether Workout,16,2023-09-29
4ltVQJH0zbxhFYnwx56qIh,Disclaimer (Deluxe Edition),26,2022-12-16
61fYGxrlD51FLZGWSlX68q,Si Vis Pacem, Para Bellum (Deluxe Edition),22,2022-07-01
